瑞安安阳餐厅,温州市,万松东路永安大厦一楼萍萍美食城,"Wi-Fi,店内参观,礼品卡"
安阳万达餐厅,安阳市,中华路与迎春东街交叉口东南角万达广场（1030商铺）一层总计使用面积为290平米的房产,"Wi-Fi,点唱机,店内参观,礼品卡"
安吉万达餐厅,南宁市,高新大道以南、安阳路以西的万达广场一层,"24小时,Wi-Fi,店内参观,礼品卡"
长春西站餐厅,长春市,安庆北路长春西站二楼候车大厅,"Wi-Fi,礼品卡"
安庆商都餐厅,安庆市,人民路563号肯德基餐厅,"Wi-Fi,礼品卡,手机点餐"
安庆苏果餐厅,安庆市,湖心北路与天柱山路交叉口苏果超市一楼,"24小时,Wi-Fi,店内参观,礼品卡,手机点餐"
安庆火车站餐厅,安庆市,迎宾大道安庆火车站,手机点餐
安庆吾悦餐厅,安庆市,龙眠山路与菱湖南路交口,"Wi-Fi,点唱机,店内参观"
安庆欧尚餐厅,安庆市,独秀大道168号安庆欧尚超市一层AQ-1017号商铺肯德基,"Wi-Fi,店内参观"
安庆欧尚餐厅,安庆市,独秀大道168号安庆欧尚超市一层AQ-1017号商铺肯德基,"Wi-Fi,店内参观"
马鞍山八佰伴餐厅,马鞍山市,湖东路以西大华国际广场2期八佰伴一二层,"Wi-Fi,点唱机,店内参观,礼品卡"
马鞍山路合家福餐厅,合肥市,"马鞍山路与太湖路交叉口东北角合家福购物广场1,2层","24小时,Wi-Fi,店内参观,礼品卡"
马鞍山欧尚餐厅,马鞍山市,雨山路与江东大道交叉口欧尚超市一楼,"Wi-Fi,点唱机,店内参观,礼品卡"
科贸街餐厅,天津市,鞍山西道与南丰路交口时代数码广场一层,"礼品卡,手机点餐"
马鞍山天润发餐厅,马鞍山市,湖北路东段天润发超市1楼,"Wi-Fi,店内参观,礼品卡"
鞍山街餐厅,哈尔滨市,东大直街地一大道香港城鞍山街入口处,"Wi-Fi,点唱机,礼品卡"
马鞍山万达餐厅,马鞍山市,太白大道万达广场一楼,"Wi-Fi,点唱机,店内参观,礼品卡,手机点餐"
鞍山立山大润发餐厅,鞍山市,鞍千路90栋S27号（凤凰城大润发超市1楼）,"Wi-Fi,点唱机,店内参观,礼品卡"
灵峰餐厅,贺州市,灵峰路与鞍山西路交汇处,"24小时,Wi-Fi,店内参观,礼品卡"
加侨国际餐厅,合肥市,马鞍山路与南二环路交叉口,"24小时,Wi-Fi,点唱机,店内参观"
旭辉鞍山餐厅,上海市,杨浦区控江路2056号一层1F-04,"Wi-Fi,点唱机"
